File Name,Abstract,Introduction,Conclusion,Keywords,Type
REFORMING GLOBAL ENVIRONMENTAL GOVERNANCE- FROM UNEP TOWARDS A WORLD ENVIRONMENT ORGANIZATION_Biermann.pdf,,,"In this chapter, I have argued that the establishment of a World
Environment Organization would improve coordination of global
environmental governance; would pave the way for the elevation of
environmental policies on the agenda of governments, international
organizations and private organizations; assist in developing the capacities
for environmental policy in African, Asian and Latin American countries;
and strengthen the institutional environment for the negotiation of new
conventions and action programs as well as for the implementation and
coordination of existing ones. Naturally, a WEO as outlined above cannot
solve all problems of environmental degradation, but can only be a partial
contribution. Yet this should not, I believe, result in a rejection of reform
with the argument that improved governance is not “a puzzle of
administrative efficiency [but] a challenge of global justice” and that global
cooperation is not “a function of inappropriately designed organizations
[but] a reflection of a fundamental absence of willingness on the part of
states.” 34 It is, in most cases, both. Limited reform steps, such as
improved regime design or more effective international agencies, will be
influenced by the larger context of state power and global inequalities in
the same way in which implementing major reforms requires solving
myriad smaller questions. Analysts of global governance need to focus on
the bigger questions, but also on the details—including the underlying
organizational structure of global environmental governance.
Of course, in the end, the key issue is less organizational design and
more the political will of governments regarding how much authority and
resources they wish to grant international organizations. 35 However,
analysts can offer institutional formats through which decision-makers
could best organize and coordinate their policies on international
environmental issues. If governments chose to integrate various
convention secretariats into a WEO, turf-battles would certainly emerge, 36
but these can be overcome if governments wish to do so, since it is
governments who remain the principals of organizations, programs and
conferences of the parties The resistance to any streamlining effort by interested actors—including
the heads of the various convention secretariats, who are likely to lose
influence - is a practical problem rather than a theoretical obstacle to
delineating a mandate for a world environment organization. A WEO
would not solve all problems, neither of industrialized countries nor of
developing countries. But it would be an important institutional step in
humankind’s efforts to both equitably and effectively manage planet
Earth.",,
Relations Between International Organisations_.pdf,,,"As the previous section has shown, inter-organisational interactions in the fi eld
of climate governance are vast and diverse. Compared to other policy areas,
these relations are more dense and numerous, which becomes clear when com-
paring this to other chapters of this Handbook. This chapter does not explore
the specifi c and detailed driving factors for the adoption of individual initia-
tives and joint projects. It can however be concluded that the characteristics of
climate change make it an issue that is highly palatable to inter-organisational
relations. The nature of the issue of climate change as a highly complex one
that transcends most other policy areas seems to provide an explanation for
this observation. Climate change affects and is affected by most other human
and natural activities. Agricultural, economic, social, developmental, scien-
tifi c and many other issues are affected by and contribute to climate change.
They can contribute to climate change mitigation and adaptation. This issue interlinkage lies at the source of the complex web of inter-organisational rela-
tions. The salience and urgency of the problem of climate change is a second
contributing factor to explaining why a large number of international organ-
isations engage in various related activities.
This chapter provided an overview of the complex landscape of climate
inter-organisational interaction. It illustrated that the climate organisational
complex is of largely collaborative nature with one core organisation, the
UNFCCC, and a large number of other organisations that address different
aspects of climate change that relate to their core objective such as health,
human rights and migration. The largely collaborative fragmentation can be an
opportunity but also a problem. While some authors consider regime complex-
ity and fragmentation an opportunity because it provides for greater fl exibility
and adaptability (Keohane and Victor 2011 ), others take a more critical stance
and consider fragmentation problematic. It can create opportunities for actors
to engage in selective participation so as to avoid some provisions and foster
their own interests (Gehring and Faude 2014 , p. 476; Orsini 2013 , p. 36; Van
de Graaf 2013 ). Empirical evidence exists for both points of view and further
research could contribute to generating more insights into this challenging
puzzle.
While an extensive web of interaction amongst various organisations has
emerged, the depth and intensity of these inter-organisational relations remain
relatively light and superfi cial. The system is loosely integrated, including uni-
lateral climate activities, inter-organisational information exchange but also
some closer cooperation in the form of joint programmes. The UNFCCC is
the hub of this system. Interplay management is also the objective of the UN
System CEB, which has established a Working Group on Climate Change.
The inter-organisational interaction in global climate governance was only
sketched by using exemplary evidence. This topic provides a vast fi eld for fur-
ther research inspired by network theories and methods. While there is a grow-
ing body of literature on the interplay between two or few institutions, analyses
of the overarching climate architecture and its degree of inter-organisational
relations and fragmentation have not been conducted so far (Zelli 2011 ,
pp. 263–264), which bears some potential for future research.",,
Rethinking international environmental regimes_what role for partnership coalitions.pdf,,"This article addresses these queries by clarifying the nature of
partnership coalitions within the mix of solutions that special regimes
might use for managing the global environment. The second section sets
out the nature of the regimes that are available as multilateral regulatory
mechanisms for effecting environmental protection and management. In
this regard, Section III addresses the notion of partnerships—or like-
minded coalitions of groups—as instruments for implementing these
regimes at the sub-national level. In doing so, the analysis treats both
the advantages of resorting to partnerships for regime implementation at
the local level, as well as the encumbrances they bring as pieces of the global regulatory puzzle. Finally, the article concludes by assessing the
place of partnerships as a practical means for implementing those
regimes already in place.","In a grand sense, the creation of sub-national partnerships
appears consonant with the goal of managing through legally-created
regimes a particular environmental problem or region. Bringing together
numerous governments, international agencies, sub-national groups,
and private sector parties that might act in concert to foster policies and
activities for environmental protection and management seems
desirable, particularly at the national level. Yet, fostering transnational
partnerships poses multiple difficulties, not only in terms of logistics but
also with respect to philosophies. Partnerships may assist in bridging
gaps between multilateral regime agreements and the principal local
problems they seek to remedy. In sum, partnerships may aspire to spark
non-governmental and private sector participation in implementing
international environmental regimes. Serious obstacles, however,
impede the reality of this happening effectively. Scant financing for
partnerships is available from new sources. Most is allocated from
governments and less than one per cent from the private sector. Concern
over partnerships also persists because these coalitions are seen as
possibly reducing pressure on governments to fulfill legal commitments
made in the construction of a regime. In any event, until all major
participants—governments, intergovernmental organizations, non-
governmental organizations, and multinational corporations—invest
more resources in partnership coalitions, their role in redressing
environmental problems will remain more passive than active in effect
and their impacts more ancillary than revolutionary in scope.",,
Taking responsive regulation transnational_Strategies for international organizations.pdf,"Responsive Regulation (RR) introduced important new ways of thinking about regulation. But RR
was designed for domestic settings in which a single agency had clear jurisdiction, full regulatory
capacity, and extensive information, and could (contingently) deploy stringent sanctions against
well-defined targets. Under globalization, many regulatory problems have shifted to the transna-
tional arena, characterized by multiple regulators, public and private, with limited capacities,
authority, and information, and modest sanctioning ability; globalized production also renders the
targets of regulation diffuse and difficult to identify. RR holds important lessons for transnational
regulation, but it must be adapted to these challenging conditions. Some components of transna-
tional RR are already emerging, including numerous private and public–private schemes that
regulate business through voluntary norms: “transnational regulatory standard-setting” (TRSS).
Alone, however, TRSS schemes face serious limitations. Intergovernmental organizations (IGOs)
are best positioned to “take RR transnational” by supporting and working with the nascent TRSS
system. Two regulatory strategies are particularly promising: collaboration and orchestration. In
“regulatory collaboration,” IGOs promote business self-regulation, much as in RR; they can escalate
in response to defection by deploying reputational and market sanctions. In “orchestration,” IGOs
support and steer intermediaries, including TRSS schemes and NGOs, which use their material and
ideational capacities to regulate target behavior. Orchestration cumulates regulatory competencies,
creates avenues of escalation, and provides many benefits of RR “tripartism.”",,"Regulatory collaboration and orchestration are essential strategies for transnational regu-
lation. Yet they also expand the general regulatory toolkit, adding innovative strategies
that may be applicable in other contexts. In closing, we point toward two areas in which
orchestration, in particular, might make a valuable contribution to other regulatory
domains.","international organization, orchestration, private regulation, responsive regulation,
voluntary regulation.",
The accountability of international organizations.pdf,"As the responsibilities of international organisations (IGOs) have multiplied, so have calls for greater
responsiveness and accountability. Burall and Negligan set forth a four-dimensional accountability
framework for international organisations, whose emphasis is on the ongoing, participative nature of
accountability. Accordingly, IGOs must ensure the participation of internal and external stakeholders,
including civil society and government. They must be transparent, both in disclosing information and in
their decision-making processes. The activities of IGOs must be subject to evaluation by external
agencies and through an internal, self-critical organisational culture. Finally, a complaints and regress
mechanism must supplement the protection of internal “whistleblowers” who uncover abuses of power.
The true challenge, Burall and Negligan conclude, lies in operationalising and implementing these
accountability principles in a manner that reflect the nature and needs of the individual organisations.",,,,
The complexification of the United Nations system.pdf,,,"The growth and elaboration of the UN System during its first half cen-
tury reflects a number of countervailing factors: on the one hand the
need for additional types of activities as the community of states is
confronted more and more frequently and urgently with problems that
require global or at least regional solutions; on the other the concerns of
governments that the international structures already established to deal
with these problems are becoming too many (for practical oversight and
control) and too powerful (sometimes requiring even major states to
yield). The result has been the invention of various hybrid structures:
Quasi-Autonomous Bodies (QABs); Treaty Organs (TOs) that may be
permanent or merely in transition to IGO status; both attached (to the
UN System) and unattached Intergovernmental Organizations (IGOs);
joint substantive or administrative organs; temporary organs; and sev-
eral other devices described or at least mentioned above.
The natural fecundity of this essentially need-driven but politics-
controlled process has been quite successful in'creating the many enti-
ties required to carry out the ever-growing though often unacknow-
ledged demand for international governance. But the twists and turns
that are sometimes required to secure agreement for a particular advance
have left the international landscape littered with what in PC (""politi-
cally correct"") terminology should be called ""challenged structures"", i.e.
ones that do not have all the necessary legal components for unambigu-
ous decision making or for the execution of such decisions. Though
with sufficient good will almost any device can be made to work, when
confronted by serious controversy some may not be in a position to re-
spond reliably. And while the morphing of TOs into full-fledged IGOs
may be considered as splendid examples of legal flexibility, there are still
some practical reasons why stability and certainty of juridical forms is
desirable.
It would therefore appear timely to conduct a serious review of what
has been accomplished in the field of international organizational law
since the establishment of the United Nations, examining in particular
the extensive ad hocery of recent years, perhaps with a view to codify-
ing and enhancing that which has proven to be successful and, without
attempting to restore the pristine simplicity of the original design, dis-
carding or reformulating some of the less fortunate experiments.
Having said this, it should be recognized that essentially interna-
tional organizations are flourishing — perhaps to the regret of some —
in response to multiple demands, often not clearly expressed, by the in-
ternational community. The protean life force resulting from that de-
mand is responsible for both the observed growth and for the increasing
complexity of the United Nations System. The challenge is to harness
that force so that complexification does not lead to an impenetrable or-
ganizational jungle but rather enhances the flexibility of the System to
respond to the increasing need for world governance.",,
The Emergent _System_ of Global Environmental Governance.pdf,"t is about time that the literature on global environmental governance moves
beyond its myopic obsession with whether or not a new environmental super-
structure is needed. 1 Given that at least one of us stands guilty of having contrib-
uted to the unending ªxation with the debate on organizational tinkering, this
should not be seen as criticism but as confession. Thankfully, there is now a stir-
ring of movement towards a broader discourse that begins to take into account
the multiplicity of actors and interactions involved in meaningful global gover-
nance. 2 Peter Haas and Mukul Sanwal 3 do a service by nudging the discourse
forward and pointing out that a multidimensional “system” of global environ-
mental governance is, in fact, already taking shape.",,"A nascent “system” of global environmental governance does exist, even if it is
rather messy. Although there is no real reason to make the system less messy, it
can be made more effective by taking a number of steps that would (a) support
the positive trends already apparent in the emergent system (b) strengthen the system as it evolves, and (c) articulate a clear vision for the eventual system that
we wish to move towards.
Figure 2 highlights our key proposals in each of the three areas. Our pro-
posals do not seek to dramatically change the system by imagining new super-
organizations for the environment. Instead, they build upon the positive syner-
gies that already exist within the system. They are designed to be “doable” as
well as “manageable” and have an implicit timeframe associated with them: the
ªrst set of proposals can be put in place in the immediate-term, the second in
the medium-term, while the third set of proposals relate to a vision for the even-
tual system which can only unfold slowly and over the long-term.",,
The global governance of international development- Documenting the rise of multi-stakeholder partnerships and identifying underlying theoretical explanations.pdf,"The global governance of development increasingly relies on multi-stakeholder partnerships
between states, intergovernmental organizations, and non-governmental organizations. This article
takes on two tasks. The first is to describe quantitatively the institutional evolution of the multilateral
development system over the past century. The second is to juxtapose four rational-institutionalist
explanations for why states establish new organizations as transnational governance initiatives—
functionalism, power-oriented theories, domestic politics, and contextual design. The empirical
analysis probes these explanations using the new Transnational Governance Initiatives in World
Politics dataset, which combines several existing data sources to build the most comprehensive data on
forms of institutionalized cooperation in global governance. The results lend most support to the
contextual design view, while also yielding support for other accounts. By employing Heckman
selection models, the analysis addresses potential selection bias due to unobserved correlation between
state choices to create a new organization and its design. A qualitative case study further validates
measurement choices and causal mechanisms. These findings have implications for theories of
institutional design and development practice, specifically regarding the role of intergovernmental
organizations in an increasingly interconnected world.",,"Finally, the rise of TGIs prompts debates about whether the state has lost its role in global
politics at the expense of private actors (Avant, Finnemore, and Sell 2010; Büthe 2004; Hall
and Biersteker 2002; Kahler and Lake 2003). Our analysis showed that states remain key
actors but no longer are the only actors in institutional design. In the IFCS case, states
controlled the organizational design decisions, as they watered down the IMCRAM proposal
put forward by IGO bureaucrats. As others have shown, bureaucratic influence over
organizational design thus is limited to cases where states have no salient interests; where
they lack expertise; or where they are late to the process (Johnson 2014; Johnson and
Urpelainen 2014; Seddon 2017). As a result of an increasingly crowded multilateral
development system, however, states are ever less able to control the dynamic implications of
TGI formation. Once created, TGIs push forward new issues, as non-state actors have great
say in them by design. States thus risk being entrapped into escalating commitments. These
dynamics would again be a fascinating area for future research beyond individual case
studies.","global governance; multilateral development organizations; aid architecture; informal
governance; transnational governance; fragmentation; trust funds;",
The globalisation of environmental law- the role of the United Nations.pdf,"This paper discusses the changes that have taken place in environmental regulation over the past
twenty years, focussing on the moves towards recognition ofthe connection between environmental
and developmental policies, and the interdependence of global ecosystems and economies. Recent
developments in International Environmental Law are discussed, in particular the impact of the
instruments generated through the UN Conference on Environment and Development. The new
orthodoxy ofsustainable development is then considered, with emphasis placed on the possibilities of
implementation. The role of regional organisations is discussed, as well as the role of existing and
future international institutions. The paper concludes with a discussion of the draji International
Covenant on Environment and Development, and some practical implications of globalisation for
relevant United Nations organisations.",,"The process of globalisation of environmental law and policy seems set to
continue apace for the immediate future. The role of United Nations agencies in
managing this process is a crucial one. The dangers of homogenisation of
environmental legal mechanisms need constantly to be borne in mind, to ensure
that consistency of approach does not bring with it a wholesale swamping of
cultural values and social structures through the influence, in particular, of
Western values and economic structures.
The expectations, great or otherwise, of the international community in rela-
tion to the role of the United Nations in the field of environmental law and
policy might be surnrnarised as follows:
The roles of UNEP and UNDP need to be rationalised and made consistent. It
makes little sense for each body to promote sustainable development from
what have been different starting points - one from the point of view of the
right to global environment protection, the other from the point of view of the
right to development. The lesson of sustainable development is that, both
conceptually and practically, environmental concerns and economic aspira-
tions need to be integrated. This must mean that at least the work pro-grammes of these two bodies should be made consistent at country if not
regional level, even if there is no agreement about institutional integration. In
any case, the Charters of these two bodies need to be re-examined in order to
address the need for integration.
It also seems sensible for the CSD to collaborate more closely with UNEP as
well as UNDP. The roles and functions of each of these bodies seem to overlap
to an extent, but the expertise developed through one body can clearly be of
practical use and benefit in the work of the others.
There is a need to think more clearly about the processes of implementation
and enforcement of environmental conventions. Secretariats of the conven-
tions which have similar subject areas should be encouraged to work closely
with each other.88 There is also a need to explore the possibilities of new
institutions for implementation and enforcement, and whether such a body or
bodies should arise from the present institutions or whether there should be a
new organisation. The Economic Security Council, suggested by the Com-
mission on Global Governance, is one such vehicle, but its proposed role
should be expanded to reflect more truly the concept of sustainable develop-
ment through integration of economic and environmental concerns.
There is also a need to think about alternative ways of encouraging implemen-
tation of and compliance with environmental conventions, including the
expansion of the mandate of the Global Environment Facility and ensuring
that adequate funds are provided for it.
The obligations proposed in the Draft International Covenant on Environment
and Development of 1995 are likely to engender an intense debate about the
direction of international environmental law, and in particular will underline
the vigour with which the globalisation of environmental regulation is being
pursued.
The establishment or strengthening of regional bodies for implementation for
both regional and global environmental conventions needs to be considered.
Finally, there is a need to re-emphasise the integral relationship between
international and national environmental law, and to remember that, particu-
larly in this field, international law is virtually useless unless it is adequately
and consistently implemented at a national
The task of integration
and further development of international and national environmental law is
quintessentially a task for UNEP and other UN agencies, working closely in
association with other relevant bodies and institutions working in this area.9",,
The impact of the Sustainable Development Goals on a network of 276 international organizations.pdf,"Global sustainability governance is marked by a highly fragmented system of distinct clusters of international
organizations, along with states and other actors. Enhancing inter-organizational coordination and cooperation is
thus often recognized as an important reform challenge in global sustainability governance. The 17 Sustainable
Development Goals, agreed by the United Nations in 2015, thus explicitly aim at advancing policy coherence and
institutional integration among the myriad international institutions. Yet, have these goals been effective in this
regard? We assess here the impact of the Sustainable Development Goals on the network structure of 276 in­
ternational organizations in the period 2012–2019, that is, four years before and four years after the launch of
the Sustainable Development Goals. The network structure was approximated by analyzing data from the
websites of these 276 international organizations that were joined by more than 1.5 million hyperlinks, which we
collected using a custom-made web crawler. Our findings are contrary to what is widely expected from the
Sustainable Development Goals: we find that fragmentation has in fact increased after the Sustainable Devel­
opment Goals came into effect. In addition, silos are increasing around the 17 SDGs as well as around the social,
economic, and environmental dimensions of sustainable development.",,,"Our study shows that since the implementation of the SDGs, frag­
mentation among international organizations has not decreased.
Instead, siloization has increased around the 17 SDG issue areas as well
as around the economic, social and environmental dimensions of sus­
tainable development. International organizations are central to
addressing the issues encompassed in the SDGs (Cormier, 2018; Sachs,
2006; Stiglitz, 2008), and the consequences of continued siloization
could be severe. Working in silos may hamper the exchange of novel
ideas and knowledge amongst international organizations that is
required to deal with the complex and globally interconnected problems
that the SDGs aim to address, and it might limit options for joint stan­
dards, policies, and transformative norm development (Bodin, 2017;
Borgatti and Halgin, 2011; Burt, 2004). Moreover, such effects may
trickle down to the national level because of the significant role that
international organizations have in shaping domestic policies in many
countries (Abbott and Bernstein, 2015; Cormier, 2018; Tosun and Pe­
ters, 2018).
While the eventual impact of the SDGs can only be assessed towards
the end of their implementation period—that is, by 2030—recent data
suggest that the world is not on track to achieve them. Progress on many
targets has stalled or reversed (UN, 2021). In the end, the onus is on
political actors at all levels to implement the goals. A reduction of
fragmentation and siloization, at all levels of global sustainability
governance and cutting across policy areas, is indispensable in achieving
the SDGs (Biermann and Kanie, 2017; Gupta and Nilsson, 2017). Our
study has shown that, so far, the opposite is happening.",
The institutional design of funding rules at inernational organisations_Explaining the transformation in financing the UN.pdf,"What explains the design and development of funding rules at international
organizations? I investigate this question in the context of the United Nations system,
which has undergone a dramatic shift in financing. Long associated with mandatory
contributions, the United Nations increasingly relies on voluntary resources earmarked
by individual donors. Previous studies have investigated the financing puzzle from a
behavioral perspective and have found that wealthy donors use voluntary funding to
rein in costs and constrain international organization programs. Providing an alternative
theoretical approach, I investigate the financing puzzle from an institutional design
perspective. I provide original United Nations funding rule data to demonstrate that it
is not only funding practices, but also underlying funding rules, that have changed over
time. I theorize how states with favorable views of the United Nations that sought to
expand its activities — rather than those that desired to constrain it — had incentives
to introduce funding rules that offered more flexibility and control to donors. I test
the argument with a longitudinal case study of funding rule design and change at United
Nations economic development institutions. The article expands the institutional design
literature by integrating funding rules as a consequential design component and provides
a novel explanation for changes in United Nations financing.",,"The remarkable shift in the financing of the UN and other IOs has drawn attention from
policymakers and IR scholars. To date, scholarship has trained attention on donor fund-
ing choices to explain the shift, taking for granted contemporary funding rules that pro-
vide an array of options for donors. This article makes clear that such an approach
provides an incomplete picture of why and how the transformation occurred. New UN
funding rule data reveal that it is not only donor practices, but also the underlying fund-
ing rules, that have changed over time. It is often assumed that powerful states with a
preference to constrain UN programming and rein in costs are responsible for these
trends. However, the analysis here demonstrates that such rules were initially designed
by actors willing to finance the UN at higher levels and expand its activity into new
areas. Flexible funding rules provided states with progressive preferences the opportu-
nity to expand UN activity in a context in which the larger membership was divided. This
had important implications for the development of the UN system. Without the innova-
tion of voluntary funding rules, it is unlikely that many UN programs that we know today
would have been created. However, voluntary rules also facilitated the increased control
of individual donors over UN programming decisions, and subsequently empowered
wealthy actors to translate financial support into influence more easily than they could
under the mandatory funding system. As a result, concerns that the authority of multilat-
eral decision-making associated with UN governing bodies is undermined by donor deci-
sions have become widespread (Graham, 2015).
The article expands the scope of the institutional design literature by introducing
funding rules as a consequential and overlooked design component and outlining how
funding rules relate to important dimensions of design already discussed in the literature.
Mandatory funding rules involve a rigid commitment that states are willing to take on
only when they expect that IO governing bodies will make programming choices they
support at costs they find affordable. Divergent member state preferences make flexibil-
ity desirable, providing states with an insurance policy against undesirable financial
commitments. Voluntary, and especially restricted voluntary, funding rules also enhance
donor control, allowing member states to provide aid through an IO without ceding con-
trol over how its contribution will be used.
Although the transformation in UN financing provides the motivating puzzle for the
article, the theoretical framework is relevant to other IOs within and outside the broader
UN system. First, increased reliance on restricted, voluntary resources is not confined to
the UN proper, and funding rule design remains hotly contested in treaty negotiations. Many UN specialized agencies have undergone transformations in financing similar to
those documented in the UN proper. Funding rule design has proven controversial at
institutions governed by the UN Framework Convention on Climate Change, where
industrialized states insist on flexible funding mechanisms to finance mitigation and
adaptation activities and developing states demand mandatory financing. Second, the
insight that smaller states with progressive preferences have incentives to introduce more
flexible funding rules that offer greater donor control may shed new light on why IOs
with weighted voting rules experience increased reliance on restricted, voluntary funds.
Whereas the most powerful states have the ability to influence programming at these
institutions through formal votes, other states have incentives to make use of funding
mechanisms that offer greater control in order to pursue their priorities.
The topic of IO financing is ripe for future research. Beyond testing hypotheses on
design in other cases, scholarship should analyze the effects of restricted resources on IO
activity. In addition, the emphasis on state preferences should be expanded to consider
the preferences and influence of IO staff in the development of funding rules and prac-
tices. The importance of IO staff is particularly relevant in light of recent efforts by staff
at the UN and other IOs to reduce reliance on restricted resources.","Global governance, institutional design, intergovernmental organization, international
institutions, International Relations, United Nations",
The New United Nations_International Organization in the Twenty-First Century.pdf,,"With a fresh look at challenges to the UN in Syria, Iran, Russia, and elsewhere, the second edition of
this successful text highlights new international trends toward global governance, holistic democracy and
human development, and progress on peacebuilding and counterterrorism. A comprehensive guide to the
world body’s institutions, procedures, policies, specialized agencies, historic personalities, initiatives, and
involvement in world affairs, The New United Nations is organized thematically, blending both topical and
chronological explanations making reference to current scholarly terms and theories.
New to this edition:
• Fully updated chapters and a new Introduction, including discussion of the Paris Climate Change
Agreement, Human Rights Council, and Peacebuilding Commission;
• New sections on Special Rapporteurs and Special Procedures, the theory and practice of neoliber-
alism, the UN’s endorsement of the “Responsibility to Protect,” and Contact Groups;
• Unique special section on the student Model United Nations experience;
• Coverage of the UN’s fifteen-year assessment of the Millennium Development Goals and the con-
sequent approval of the Sustainable Development Goals; and
• eResources with supportive materials and documents.",,,
The Politics of International Environmental Management.pdf,"Global environmental governance in the Anthropocene is fundamentally different from older
conceptions of environmental policy-making and sustainable development. Environmental
problem-solving is no longer concerned with isolated problems, but rather with reorganising
the overall relation between humans and natural systems. Empirically, this is reflected in the
ever greater attention to questions of institutional interactions (e.g. between the issue areas of
economics and environment) and functional overlaps between parallel governance approaches.
Normatively, environmental governance in the Anthropocene is concerned with questions of
equity and fairness on a finite planet. This article scrutinises the theoretical interregnum in global
environmental governance by first sketching the key empirical trends in global environmental
governance; secondly, discussing theory-building with regards to four broad areas of inquiry: the
questions of agency and authority; the structural dimension of global environmental governance;
the related normative questions about legitimacy, accountability, equity and fairness in the
Anthropocene; and finally the integration of governance research into formal approaches and the
related incorporation of non-social science concepts into environmental governance research. In
our conclusions, we propose some initial ideas on how to move forward in the study of global
(environmental) governance.",,"In sum, our analysis of current trends and topics in theorising global environmental gov-
ernance in the Anthropocene has presented not a unified and consolidated but a
burgeoning and lively field of study. Whether this interregnum is an anomaly that will give
way to a more coherent and unified understanding of global governance (or the rejection of
this concept) or global governance stays a field of academic contestation remains to be seen","global governance, environment, Anthropocene, fragmentation, authority, inter-disciplinarity",
The Quest for a United Nations Specialised Agency for the Environment.pdf,"Many of the major policy challenges facing governments today are in some sense
collective problems, calling for joint solutions. This also applies to the issue-area
of environmental management, and to Europe at least as much as to any other region.
However, even when effective solutions can only be reached through joint efforts,
voluntary cooperation seems quite often to be hard to establish and maintain. This
makes it all the more important to be able to understand the conditions for 'success'
and the causes of 'failure' in international environmental problem-solving.
This volume addresses some aspects of that general question. We shall pursue our
theme through three consecutive stages of the policy process: the formation of the
national policy positions that serve as inputs into international negotiations, the
aggregation of those preferences and positions into joint decisions, and the (domestic)
implementation of international agreements.",,"If we wish to determine whether or not regimes 'matter' - i.e. whether they have
independent influence on state behavior, or whether international agreements amount
to more than ink on paper - we need to trace carefully the processes, structures
and values at the national level which determine the manner in which such agree-
ments are carried out and responded to. We cannot focus exclusively on the structure
of the interstate game, looking for the constraints upon state behavior that would encourage compliance with international contracts. To the extent that an analysis
of international regimes ignores domestic political processes, it will not be able to
show the way in which regimes actually influence policy choices at the opera-
tional level. Thereby it closes off one important avenue for examining questions
of regime effectiveness. Nor will we be able to understand how the positions nations
take and defend in international negotiations leading to the agreement come about
without considering the way in which international negotiations both mobilize and
penetrate domestic society.
Much of what we have said about the domestication of international commitments
is, admittedly, quite familiar. What we have tried to do is raise the question as to
whether the internationalization of domestic concerns does involve a qualitatively
different set of issues, structures and processes than what traditionally has occupied
foreign policy analysts and policy-makers. Second, since the domestic functional
ministries, in their international activities, and foreign affairs policy-making system,
are intertwined (if they are not, in fact, two sides of the same coin) in both for-
mulating and defending (negotiating) national positions, it is important to examine
the decision-making structures and processes through which they and the societal
interests they 'represent' are linked in taking decisions at the domestic and inter-
national levels. And, third, the game is not over when the ink on the treaty or
agreement has been blotted. At that point the implementation process begins through
which the ultimate 'bottom line' of the commitment will be achieved in the behavior
and activities of groups and individuals in the societies of signatory nations. And
this implementation of lEAs will involve a complex web of international, trans-
governmental, transnational and national (both public and private) interactions which
makes it difficult to grasp only in terms of enforcement and compliance. Management
tasks in connection with both the negotiation and the implementation of interna-
tional commitments must be fulfilled at all these levels.
Whatever the structure of this management network and whichever the specific
activities that are channeled through it, focussing on the problems and opportuni-
ties of achieving effective international cooperation makes abundantly clear that
deliberate defection from these contracted obligations may very well be the least
of our worries.",,
The two faces of the United Nations- The tension between intergovernmentalism and transnationalism_Bruce  .pdf,"Recent years have seen intense intergovernmental deliberations on issues concerning
governance in the ﬁeld of environment. Their aim has been to address the role of the institutions
that provide platforms for international environmental cooperation. There are two main lines of
enquiry: the role of regime-speciﬁc institutions that cater to sectoral regulatory frameworks
(popularly known as multilateral environmental agreements, or MEAs); and the role of insti-
tutions that are established to follow up on global environmental conferences or a speciﬁc
environmental task. Most of these institutions reﬂect intergovernmental consensual process.
However, there are concerns about their proliferation and there is a growing cacophony of calls to
‘bring coherence to the fragmented landscape of MEAs, intergovernmental bodies, UN system
entities and other international organizations’ (Sha Zukang (2011) ‘Legal and policy dimensions
of sustainable development: expected contribution of Rio þ 20’, Environmental Policy and Law,
41(6), pp. 244–246, at p. 245). In fact the need to bring order to environmental governance has
assumed great importance and urgency if environmental cooperation is to be achieved. This paper
explores, in particular, the role of the United Nations Environment Programme and its potential
for conversion to a specialised agency of the UN.",,"There is an urgent need to strengthen the UN’s environmental institutional and
governance framework and to augment coordination in order to address global
environmental challenges, while avoiding duplication and waste of resources.","United Nations Environment Programme, governance, environment,
Commonwealth, Rio þ 20 Conference, multilateral environmental agreements, Töpfer Task
Force",
