Institutions,Cleaned Practical Vertical Coordination,Summarized Vertical Coordination,Themes
IPCC,"The Intergovernmental Panel on Climate Change (IPCC) collaborates with key organizations to support climate change governance. It liaises with the UN (UN), implementing a relationship agreement effective since its establishment in 1988 , as per the UN's mandate to provide policymakers with regular assessments of the scientific basis of climate change, its impacts, future risks, and adaptation and mitigation options. Similarly, IPCC maintains a relationship with the UN Development Programme (UNDP), providing vital scientific information to limit climate change and establish a strong link between sustainable economic development, climate change, and vulnerability . Additionally, IPCC supports the World Meteorological Organization (WMO) and the UN Environment Programme (UNEP) by assessing the scientific literature and providing vital scientific information to the climate change process . It also services the Conference of the Parties (COP) and the Subsidiary Body for Scientific and Technological Advice (SBSTA) , by preparing related reports within its mandate. Moreover, IPCC facilitates the assessment process through its Task Force on Greenhouse Gas Inventories, carrying out important work on methodologies for estimating and reporting GHG emissions .","The IPCC coordinates with UN, DP, WMO, EP through mechanisms to advance governance.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
World Trade Organization (WTO) ,"The WTO cooperates with various institutions to promote trade and development. It works with the International Monetary Fund (IMF) and the World Bank, based on the coherence mandate in the Marrakesh Decision of 1994 , to ensure consistency and complementarity of global economic policies . Likewise, the WTO collaborates with the UN (UN) and its specialized agencies, such as the UN Conference on Trade and Development (UNCTAD), the Food and Agriculture Organization (FAO), the World Health Organization (WHO), and the World Intellectual Property Organization (WIPO), under the arrangements for effective cooperation signed in 1995, to address the linkages between trade and other policy areas, as specified in Article V of the WTO Agreement . Furthermore, the WTO partners with the International Trade Centre (ITC), a joint agency of the WTO and the UN, to provide trade-related technical assistance and capacity building for developing countries, as stated in the Doha Ministerial Declaration of 2001 . It also engages with the Inter-Parliamentary Union (IPU), an international organization of national parliaments, to enhance the parliamentary dimension of the WTO and foster dialogue and accountability on trade issues, as agreed in the Memorandum of Understanding of 2018 . Additionally, the WTO participates in various collaborative initiatives with like-minded groups of members and other stakeholders, such as the Joint Statement Initiative on E-commerce , the Joint Statement on Investment Facilitation , and the COVAX Facility on COVID-19 vaccines , to advance discussions and actions on emerging and pressing trade challenges.","The WTO coordinates with IMF, UN, CTAD, FAO through frameworks to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
"International Organization for Migration (IOM)

","IOM cooperates with various partners to advance migration governance and, in particular, achieve the 2030 Agenda. It engages with the UN (UN), implementing a relationship agreement effective since 19 September 2016, as per the UN General Assembly Resolution 70/296. Similarly, IOM collaborates with the UN Development Programme (UNDP), providing technical support and policy advice . Additionally, IOM works with the World Health Organization (WHO), promoting the health of migrants and refugees . It also participates in the Global Migration Group (GMG), contributing to inter-agency coordination and coherence, with its terms of reference in the GMG Principles of Working Arrangements . Moreover, IOM supports the Global Forum on Migration and Development (GFMD), facilitating dialogue and cooperation among stakeholders, involving a Steering Group and a Support Unit, with its objectives and modalities in the GFMD Operating Modalities .","The IOM coordinates with UN, DP, WHO, GMG through mechanisms to advance governance.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
United Nations Office for Project Services (UNOPS),"UNOPS works with a variety of partners to support sustainable development operations in developing countries and manage portfolios financed by its partners . It establishes and develops strategic relationships with key partners, including the UN family, governments, non-governmental organizations, academia and the private sector. It also has global liaison offices in Bangkok, Brussels, Nordics, Geneva, Nairobi, Tokyo and Washington, D.C., to facilitate partnership development with regional and international organizations, such as the Asian Development Bank, the European Union, the World Bank, the Green Climate Fund, the UN Environment Programme, the UN-Habitat and the United States Agency for International Development . Furthermore, UNOPS provides meaningful technical expertise to countries in the implementation of the Sustainable Development Goals and the Paris Agreement on Climate Change, supplementing their own capacities, improving efficiency and transparency, reducing risks, boosting cost-effectiveness and ensuring quality. Additionally, UNOPS manages partnerships, trust funds and project portfolios that support people and communities around the world, such as the Global Fund to Fight Aids, Tuberculosis and Malaria, the Stop TB Partnership, the UN-Water Interagency Trust Fund, the Water Supply and Sanitation Collaborative Council, and the Enhanced Integrated Framework .","The UN coordinates with OPS, TB through frameworks to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),"UN-Women collaborates with key institutions to advance gender equality and women's empowerment. It supports UN Member States as they set global standards for achieving gender equality, and works with governments and civil society to design laws, policies, programmes and services needed to ensure that the standards are effectively implemented and truly benefit women and girls worldwide . Similarly, UN-Women liaises with the UN Development Programme (UNDP), implementing a relationship agreement effective since 1 January 2011, as per General Assembly resolution 64/289 , which established UN Women as a composite entity of the UN system, comprising the Division for the Advancement of Women, the International Research and Training Institute for the Advancement of Women, the Office of the Special Adviser on Gender Issues and Advancement of Women, and the UN Development Fund for Women (Paragraph 53). Additionally, UN-Women facilitates linkages and influences between women’s lived experiences and efforts with regional intergovernmental policy and programme processes, and leverages spaces for women leaders to directly engage regional institutions, participate in mediation and other conflict resolution and peace initiatives . It also services the Commission on the Status of Women (CSW) %20of%2021%20June%201946.) with its mandate in Economic and Social Council resolution 11(II) of 21 June 1946 by preparing related reports. Moreover, UN-Women maintains a relationship with the Committee on the Elimination of Discrimination against Women (CEDAW) , providing substantive support and servicing its sessions, with its functions detailed in the Convention on the Elimination of All Forms of Discrimination against Women and its Optional Protocol.","The UN coordinates with Member States, DP, CSW, II through mechanisms to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
World Intellectual Property Organisation (WIPO),"WIPO cooperates with various organisations to promote and protect intellectual property rights. It works closely with the World Trade Organization (WTO), implementing the Agreement on Trade-Related Aspects of Intellectual Property Rights (TRIPS) , which sets minimum standards for IP protection and enforcement, as per the WIPO-WTO Cooperation Agreement of 1995 . Similarly, WIPO maintains a relationship with the UN (UN) and its specialised agencies, such as the UN Development Programme (UNDP), the UN Conference on Trade and Development (UNCTAD), and the UN Environment Programme (UNEP), to align its strategies and objectives with the UN's 2030 Agenda for Sustainable Development, as per the WIPO General Assembly Resolution of 2016 . Additionally, WIPO supports the WIPO Intergovernmental Committee on Intellectual Property and Genetic Resources, Traditional Knowledge and Folklore (IGC) , which aims to reach an agreement on the protection of these forms of IP, with its mandate and work program detailed in Item 20 of the WIPO General Assembly Decision of 2019 . It also services the WIPO Standing Committee on the Law of Trademarks, Industrial Designs and Geographical Indications (SCT) , which deals with the development of international norms and standards in these areas.","The WIPO coordinates with WTO, TRIPS, IP, UN through mechanisms to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
UN Population Fund (UNFPA),"UNFPA works with various partners to advance sexual and reproductive health and rights. It partners with other UN agencies through joint programmes, multi-donor trust funds and other funding arrangements, such as UNICEF, UN Women, UNDP and others, to deliver on the Sustainable Development Goals and the 2030 Agenda . It also engages with international financial institutions to scale-up financing and leverage their expertise and influence, such as the World Bank Group and the African Development Bank, supporting governments in both their loan and grant implementations in line with national development priorities . Furthermore, UNFPA collaborates with civil society organizations, foundations, academia, private sector and media to advocate, mobilize resources and implement programmes for its three transformative results .","The UN coordinates with FPA, ICEF, DP through mechanisms to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
United Nations Human Settlements Programme (UN-Habitat),"UN-Habitat establishes and strengthens strategic relationships with a diverse range of partners at national, regional, and international levels, including political actors, civil society, professional organizations, and the private sector . It works with partners through the World Urban Forum , multi-stakeholder thematic partnerships, and advisory boards. These partnerships include the Cities and Climate Change Initiative , Gender Equality Network , Global Alliance for Urban Crisis , Global Housing Strategy Platform , Global Land Tool Network (GLTN), and others. UN-Habitat also services the World Urban Campaign, an advocacy and partnership platform to raise awareness about positive urban change . Furthermore, UN-Habitat partners with sister agencies across the UN, such as UNDESA, UNDP, and UNRCOs, as well as with a large network of local and national partners across the globe to advance SDG localization .","The UN coordinates with GLTN, DESA, DP, RCO through frameworks to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
World Food Programme (WFP),"WFP cooperates with various institutions to achieve its goals and objectives of eradicating hunger and malnutrition. It works closely with other UN agencies and international organizations, as stated in Article III of the General Regulations of the WFP . It has a special relationship with the other two Rome-based UN agencies – FAO and IFAD – with which it shares a common vision of promoting food security. It also has a strong operational partnership with UNHCR for providing food assistance to refugees and internally displaced people. Moreover, WFP collaborates with UNDP and other development partners to support countries' self-defined priorities and accelerate climate action, as part of the UN Development Assistance Framework. Furthermore, WFP engages with other international and regional organizations, such as ECHO, OAS and ICRC, to deliver humanitarian aid and enhance resilience. Additionally, WFP partners with UNV and Online Volunteers to support its work to achieve Zero Hunger .","The WFP coordinates with UN, III, FAO, IFAD through frameworks to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
World Tourism Organization/UN Tourism (UNWTO),"UNWTO cooperates with various institutions to promote sustainable and responsible tourism . It partners with the European Union (EU), implementing a framework agreement signed in Brussels on 28 February 2018, . Likewise, UNWTO maintains a relationship with the Food and Agriculture Organization (FAO), collaborating on projects related to rural development and food security, based on a memorandum of understanding signed in 2020 . Furthermore, UNWTO supports the World Trade Organization (WTO), contributing to the trade and development agenda and the Aid for Trade initiative . It also engages with the UN system, participating in the UN System Chief Executives Board for Coordination (UNCEB) and the UN Conference on Trade and Development (UNCTAD) , preparing joint reports and recommendations. Additionally, UNWTO facilitates the Partnerships in Education to enhance education and training capabilities in tourism, involving certified programmes and affiliate members.","The UN coordinates with WTO, EU, FAO, CEB through mechanisms to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
UN Research Institute for Social Development (UNRISD),"UNRISD engages with various institutions to advance social development research and policy. It works closely with the UN system, especially the UN Department of Economic and Social Affairs (DESA) , the UN Development Programme (UNDP), and the UN Economic and Social Council (ECOSOC), to contribute to UN agendas and processes, such as the 2030 Agenda for Sustainable Development . It also collaborates with other UN agencies, funds and programmes, such as UN Women , UNICEF , and UNFPA , on specific research projects and events, as detailed in its annual reports. Furthermore, UNRISD partners with academic institutions, the private sector, think tanks, civil society organisations, and foundations, to co-produce and disseminate knowledge on social development issues . Additionally, UNRISD organises regional roundtables on the social sciences and social issues in development, to strengthen its links with other research networks .","The UN coordinates with RISD, DESA, DP, ECOSOC through mechanisms to advance research.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)


","The BRS Secretariat cooperates with key entities to support the sound management of chemicals and waste. It is administered by the UN Environment Programme (UNEP) and the Food and Agriculture Organization of the UN (FAO), as per Article 16 of the Basel Convention , Article 19 of the Rotterdam Convention and Article 20 of the Stockholm Convention . It also implements memoranda of understanding with UNEP and FAO, clarifying the institutional relationship and responsibilities of the entities . Furthermore, the BRS Secretariat coordinates with other international bodies, such as the Strategic Approach to International Chemicals Management (SAICM), the Minamata Convention on Mercury, the Montreal Protocol on Substances that Deplete the Ozone Layer, and the World Health Organization (WHO), to promote synergies and avoid duplication of efforts . It also engages with various stakeholders, such as industry, civil society, academia and media, to raise awareness and mobilize resources for the implementation of the conventions . It also coordinates with the International Seabed Authority (ISA), the International Tribunal for the Law of the Sea (ITLOS), the Commission on the Limits of the Continental Shelf (CLCS), the Informal Consultative Process (ICP) on Oceans and the Law of the Sea, and the Regular Process for Global Reporting and Assessment of the Marine Environment . Furthermore, the BRS Secretariat engages with stakeholders, such as regional centres, non-governmental organizations, industry associations, and scientific institutions, to provide technical assistance, capacity building, and information exchange .","The BRS coordinates with UN, EP, FAO, SAICM through frameworks to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
"Secretariat of the Convention on Biological Diversity (CBD)

","The CBD Secretariat collaborates with key organizations to support biodiversity conservation. It is institutionally linked to UN Environment, its host institution, as per decision II/19 . The Secretariat also liaises with the UN Development Programme (UNDP) and the UN Environment Programme (UNEP) to host the NBSAP Forum, through generous funding provided by the Global Environmental Facility (GEF) . Furthermore, the Secretariat has established Memoranda of Cooperation with numerous entities, outlining formally agreed activities or targets . Guided by Article 22 of the Convention , the Secretariat has also established liaison groups with the secretariats of the Rio Conventions (Joint Liaison Group) and those of the biodiversity-related conventions (Liaison Group of Biodiversity-related Conventions) , as well as for thematic areas, such as the Inter-agency Liaison Group on Invasive Alien Species . The Executive Secretary of the Secretariat is accountable to the Conference of the Parties for programme delivery and policy-related issues and to the Executive Director of UNEP for administrative and financial issues .","The CBD coordinates with UN, II, DP, EP through mechanisms to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
"
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES)

","CITES cooperates with various institutions to ensure the conservation and sustainable use of wildlife. It works closely with the UN Environment Programme (UNEP), which provides administrative and financial support to the CITES Secretariat, as per the Memorandum of Understanding signed in 1976 and revised in 1983 . It also coordinates with other biodiversity-related conventions, such as the Convention on Biological Diversity (CBD), the Convention on Migratory Species (CMS), and the Ramsar Convention on Wetlands, through joint work plans, liaison groups, and mutual representation, as per Resolution Conf. 13.3 (Rev. CoP18) . Furthermore, CITES collaborates with international organizations and initiatives, such as the Food and Agriculture Organization (FAO), the World Trade Organization (WTO), the World Customs Organization (WCO), and the International Consortium on Combating Wildlife Crime (ICCWC), to enhance technical expertise, trade regulation, enforcement, and capacity-building Additionally, CITES engages with non-governmental organizations, civil society, and the private sector, to promote awareness, participation, and compliance .","The CITES coordinates with UN, EP, CBD, CMS through frameworks to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
"
Secretariat of the Convention on Migratory Species (CMS)","The CMS Secretariat works with various partners to implement the Convention and conserve migratory species. It cooperates with the secretariats of other biodiversity-related MEAs, such as CBD, CITES, Ramsar, and UNCCD, to harmonize policies and activities , as per Paragraph 4(b) of Article IX of the Convention and resolution 11.10 . It also collaborates with other inter-governmental bodies, such as UNESCO, IWC, and ITTO, to promote joint initiatives and projects on specific species or habitats, as per resolution 12.7 . It engages with non-governmental organizations, such as IUCN, BLI, OceanCare, and IFAW, to support scientific research, conservation action, and public awarenes . It partners with the private sector, such as TUI AG, to raise funds and foster corporate social responsibility, following a code of conduct adopted in resolution 10.21 . It participates in the IPBES as an observer and contributes to its assessments and work programme . It also supports the development and implementation of regional and thematic agreements and initiatives under the Convention, such as EAAFP, WHMSI, and SCF, as per Article IV and V of the Convention and Paragraph 6 of resolution 12.3 .","The CMS coordinates with MEA, CBD, CITES, UN through mechanisms to advance research.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
International Fund for Agricultural Development (IFAD),"IFAD partners with various organizations to achieve its mission of ending hunger and promoting food security through sustainable agriculture. This relationship is guided by Article 8 of the Agreement Establishing the International Fund for Agricultural Development . It works closely with the UN Rome-based agencies – the Food and Agriculture Organization (FAO) and the World Food Programme (WFP) – with whom it shares a common vision and supports the Committee on World Food Security (CFS). It also collaborates with other UN programmes and funds such as UN Women . Beyond the UN System, IFAD partners with multilateral development banks and international financial institutions, such as the African Development Bank, the Islamic Development Bank, the OPEC Fund for International Development and the World Bank. IFAD also works with regional organizations such as ASEAN, COMESA, ECOWAS, the European Union and Mercosur; multilateral climate and environment funds, such as the GCF and GEF; and other multilateral organizations, such as the OECD . In addition, IFAD facilitates the Global Environment Facility (GEF), established in 1991, to enhance environmental sustainability and resilience . It also engages with the Green Climate Fund (GCF), established in 2010, to mobilise climate finance and support adaptation and mitigation actions .","The IFAD coordinates with UN, FAO, WFP, CFS through mechanisms to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
"
International Trade Centre (ITC)","ITC works with various institutions to achieve its goals of trade promotion and development. It is a joint agency of the WTO and the UN, operating under the guidance of the UN General Assembly and the WTO General Council . It also cooperates with the UN Conference on Trade and Development (UNCTAD), the UN Development Programme (UNDP), and other UN specialized agencies and programmes, as well as regional and intergovernmental organizations, to implement trade-related technical assistance and capacity-building activities . Furthermore, ITC collaborates with the International Trade Centre Trust Fund (ITF), which is a multi-donor trust fund that supports ITC’s projects and programmes. Additionally, ITC maintains relations with other trade-related institutions, such as the Codex Alimentarius Commission, the International Labour Organization (ILO), the World Intellectual Property Organization (WIPO), and the World Health Organization (WHO), to address various aspects of trade and development, as well as with the private sector, Governments, civil societies and philanthropic foundations, multilateral partners, academia, training and research partners, business support organizations, and regional partners .","The ITC coordinates with WTO, UN, CTAD, DP through mechanisms to advance research.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
Secretariat of the United Nations Convention to Combat Desertification (UNCCD),"The UNCCD Secretariat collaborates with various institutions to implement its goals and objectives. This collaboration is guided by Articles 8 & 25 of the UNCCD Convention . The UNCCD works closely with the Rio conventions and the Global Environment Facility to develop common indicators and synergies in reporting processes and capacity-building . The Secretariat also collaborates with other UN entities on issues of food security, climate change, land degradation and restoration, forests, gender, drought, sand and dust storms, and migration . In addition, it has established a strategic working partnership with the UN Development Programme (UNDP) to raise awareness and catalyze international cooperation to address the needs of the world’s poorest living in the drylands, particularly under scenarios of climate change .","The UN coordinates with CCD, DP through frameworks to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
United Nations University (UNU),"The UNU collaborates with various institutions to advance its research and training objectives. It functions under the joint sponsorship of the UN and UNESCO, through a central body and a network of centres and programmes, as per Article I, paragraph 1 of its Charter . It also coordinates its activities with the UN and its agencies, such as UNITAR (Article VI, paragraph 1 f), UNIDO, as well as as as well as regional and national bodies, such as the European Union, the African Development Bank, and the Japanese Government. It may receive voluntary contributions and assistance from governments, organizations, and individuals, and mobilizes resources from various donors and funding agencies, such as the German Government, the World Bank, and the International Climate Initiative, to support its academic projects and core operations (Article IX, paragraphs 1-2). Additionally, the UNU designates certain institutions and centres, particularly in developing countries, as associated institutions of the UNU, on terms and conditions decided by the Council . Moreover, UNU partners with academic institutions and networks around the world, such as Maastricht University, the University of Tokyo, and the International Partnership for the Satoyama Initiative, to conduct joint research, education, and training programmes .","The UN coordinates with ESCO, ITAR, VI, IDO through mechanisms to advance research.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
Ramsar Convention on Wetlands Secretariat (Ramsar) ,"The Ramsar Secretariat collaborates with various institutions to achieve its objectives. It is based at the headquarters of the International Union for the Conservation of Nature (IUCN) in Gland, Switzerland . The Secretariat develops cooperation with other conventions, intergovernmental institutions, and national and international NGOs . It also works to strengthen collaboration with the World Bank and UN agencies, particularly UNEP, UNDP, FAO, WHO, the World Meteorological Organization (WMO), and the Intergovernmental Science Policy Platform on Biodiversity and Ecosystem Services (IPBES). This collaboration is detailed in the draft resolution on enhancing the Convention's visibility (Ramsar COP14 Doc.18.8 Rev.2) . Furthermore, the Secretariat has interface procedures with the Joint Environment Unit (JEU) of the UN Office for the Coordination of Humanitarian Affairs (OCHA) and the UN Environment Programme (UNEP) .","The IUCN coordinates with NGO, UN, EP, DP through frameworks to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
Minamata Convention on Mercury (Minamata),"The Minamata Convention collaborates with key organizations to protect human health and the environment from the adverse effects of mercury. It enhances cross-linkages with relevant international processes and bodies, such as the UN Framework Convention on Climate Change (UNFCCC) and the World Health Organization . The Convention also cooperates with the secretariats of the Basel, Rotterdam, and Stockholm Conventions 9https://enb.iisd.org/minamata-convention-mercury-cop5-1Nov2023). The UN Development Programme (UNDP) provides support to conduct Minamata Initial Assessment (MIA) and develop ASGM National Action Plans (NAPs), to undertake activities to reduce emissions of mercury and mercury compounds to the atmosphere from point sources and from ASGM, and to phase out mercury-containing products in the healthcare sector 9https://www.undp.org/chemicals-waste/chemicals-and-waste/minamata-convention). These relationships enable the Convention to fulfill its role as a global legally binding instrument on mercury to address the risks to human health and the environment from mercury pollution.","The UN coordinates with FCCC, DP, MIA, ASGM through frameworks to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
United Nations Office for Outer Space Affairs (UNOOSA),"UNOOSA cooperates with various organisations to promote and facilitate peaceful international cooperation in outer space. It works closely with the Committee on the Peaceful Uses of Outer Space (COPUOS), providing substantive secretariat services and implementing its decisions and recommendations, as per General Assembly resolution 1472 (XIV) of 12 December 1959 . It also maintains a relationship with the International Civil Aviation Organization (ICAO), coordinating on issues related to global navigation satellite systems and space weather, as detailed in document A/AC.105/2019/CRP.14 . Additionally, UNOOSA partners with the UN Development Programme (UNDP), supporting the use of space applications for sustainable development, particularly in developing economies . It also collaborates with the UN Environment Programme (UNEP), contributing to the Global Environmental Outlook and the Eye on Earth initiatives . Moreover, UNOOSA engages with other UN entities, intergovernmental organisations, non-governmental organisations, academic institutions, and private sector actors, through various agreements, mechanisms, platforms, and initiatives, such as the Inter-Agency Meeting on Outer Space Activities, the International Committee on Global Navigation Satellite Systems, the International Charter on Space and Major Disasters, and the Access to Space for All initiative .","The UN coordinates with OOSA, COPUOS, XIV, ICAO through mechanisms to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
United Nations Office on Drugs and Crime (UNODC),"UNODC collaborates with various institutions to implement its goals and objectives. It works with the Asian Development Bank on anti-money-laundering and sustainable livelihoods . It also cooperates with the OPEC Fund for International Development on HIV/AIDS prevention and treatment, and the NATO-Russian Council on issues related to Afghanistan . UNODC has also established Judicial Regional Platforms in the regions of the Sahel and the Indian Ocean . It also partners with UN-Habitat, UN Women, UNEP, UN Development Programme, United Cities and Local Governments (UCLG), European Forum on Urban Security (EFUS), NGO Alliance on Crime Prevention and Criminal Justice, Peace in Our Cities, UNCAC Coalition, Vienna NGO Committee on Drugs, and others .","The UN coordinates with ODC, OPEC, HIV, AIDS through frameworks to advance development.",Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
10 key phrases,"Collaboration with UN specialized agencies, Multilateral cooperation and partnerships, Joint research and development initiatives, Coordinated policy advocacy, Shared capacity building programs, Inter-agency agreements and MOUs, Collaborative environmental monitoring and management, Exchange of knowledge and best practices, Co-funding and financial partnerships, Networking and information exchange platforms",The UN coordinates with MOU through mechanisms to advance research.,Multi-Level Governance Structures;Collaboration with External Entities;Technical and Capacity-Building Support
