Institutions,Cleaned Strategies,Summarized Strategies,Themes
The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),"The IPBES Secretariat executes its defined objectives and functions via several strategies: firstly, a rolling work programme up to 2030 backed by Decision IPBES-7/1 and based on requests, inputs and suggestions from relevant bodies under multilateral environmental agreements as well as governments and other stakeholders. The rolling work program aims to strengthen the science-policy interface for biodiversity and ecosystem services for the conservation and sustainable use of biodiversity, long-term human well-being and sustainable development. This work programme corresponds to the 2030 Agenda for Sustainable Development, including the Sustainable Development Goals , the biodiversity-related conventions and other biodiversity and ecosystem service processes . It initially focuses on three topics: the interlinkages between biodiversity and other relevant issues reflected in the 2030 Agenda, the determinants of transformative change, and the tools and solutions for conservation and sustainable use of biodiversity . Secondly, a biennial budget and work programme, approved by the Plenary, detail the activities, outputs, indicators, and resources corresponding to each deliverable of the work programme . The current budget and work programme for 2022-2023 is based on the priorities identified by the Plenary and the available resources, as outlined in decision IPBES-8/1 . It also supports the development and use of policy support tools and methodologies, such as the IPBES online catalogue of policy support tools and methodologies , the IPBES guide on the production and integration of assessments from and across all scales , and the IPBES conceptual framework . Finally, various assessments, task forces, expert groups, and platforms provide an evidence base for informing policy and decision-making, addressing the state of knowledge on the interactions between human societies and the natural world, the drivers and impacts of biodiversity change, and the options and pathways for achieving conservation and sustainable use of biodiversity . Some of the key assessments include the global assessment report on biodiversity and ecosystem services , the assessment report on invasive alien species , the assessment report on the sustainable use of wild species , and the assessment report on the diverse conceptualization of multiple values of nature and its benefits .","The IPBES drives strategies through frameworks, advancing sustainable development.",Adaptive Policy Development;Evidence-Based Decision Making;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
IPCC,"The IPCC executes its objectives via several strategies. The IPCC operates through three Working Groups (WGs) and a Task Force on National Greenhouse Gas Inventories (TFI), each supported by a Technical Support Unit (TSU) . The WGs assess the scientific literature on the physical science basis of climate change (WG I), the impacts, adaptation and vulnerability (WG II), and the mitigation of climate change (WG III). The TFI develops and refines methodologies for the estimation and reporting of greenhouse gas emissions and removals. The IPCC also produces reports in forms of Special Reports, Methodology Reports, Technical Papers and Synthesis Reports like AR6 reports on cross-cutting topics. The IPCC develops its work programme based on the requests and guidance from its member governments and observer organizations and the work programme is reviewed and approved by the IPCC Plenary, which is the main decision-making body of the IPCC . The IPCC budget is funded by voluntary contributions from its member governments and other organizations. The budget covers the operational costs of the IPCC Secretariat, the Technical Support Units, and the travel and meeting expenses of the IPCC Bureau members, authors, reviewers, and other experts involved in the IPCC work. The budget is prepared by the IPCC Secretariat in consultation with the IPCC Bureau and the Technical Support Units, and is submitted to the IPCC Plenary for approval for each assessment cycle, which typically lasts six to seven years. The budget is subject to an annual audit by an external auditor. The budget cycle is also aligned with the calendar year . In addition, the IPCC Scholarship Programme provides funding for young scientists from developing countries to pursue studies on climate change .","The IPCC drives strategies through frameworks, advancing development.",Adaptive Policy Development;Evidence-Based Decision Making;Operational Resource Allocation
World Trade Organization (WTO) ,"The WTO has a comprehensive strategy in place to achieve its objectives and mandates in ensuring that trade flows as smoothly, predictably, and freely as possible. It operates a non-discriminatory trading system that spells out the rights and obligations of its members . The WTO agreements, which are the result of negotiations, cover a wide range of activities including agriculture, textiles and clothing, banking, telecommunications, government purchases, industrial standards and product safety, food sanitation regulations, intellectual property, and more . The WTO’s strategic plans are largely the outcome of negotiations between the members. The current round of trade negotiations, known as the Doha Development Agenda, was launched in 2001 to succeed the Uruguay Round negotiations (1986–94) . The WTO has expanded its scope to include cooperation with the UN system, the Organization for Economic Cooperation and Development (OECD), and other international partners on a wide range of issues . The WTO’s annual budget is contributed by its members based on their proportion of international trade . The current budget proposal for the WTO Secretariat for the biennium 2024-2025 requests a modest increase of 7.4% in 2024 and 0.9% in 2025, amounting to CHF 211.76 million and CHF 213.7 million respectively. The WTO’s regulatory mechanisms are based on a number of simple, fundamental principles that run throughout all of its documents. These principles include trade without discrimination, national treatment (treating foreigners and locals equally), and the commitment to lowering trade barriers .","The WTO drives strategies through plans, advancing development.",Adaptive Policy Development;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
"International Organization for Migration (IOM)

","The IOM executes its objectives via several strategies: firstly, a five-year Strategic Plan , revised annually by the Council, establishes the IOM's vision, mission, strategic objectives, enablers, and cross-cutting priorities. The current plan, applicable for 2024-2028, aligns with the Global Compact for Safe, Orderly and Regular Migration and the UN Secretary-General’s Action Agenda on Internal Displacement. Secondly, an annual budget and work plan, devised by the IOM and approved by the Council, detail activities, outputs, indicators, and resources corresponding to each strategic objective. The current budget and work plan for 2024 is tailored to the Member States' needs and stakeholders' priorities . Thirdly, an IOM Development fund with a strategic plan applicable for 2022-2027 aimed at providing Member States with accountable and effective seed funding for innovative migration-related initiatives that align with national, regional, and global development strategies and priorities, as well as supporting the development and strengthening of the capacities of Member States to achieve effective and sustainable migration governance that benefits migrants and society. The IOM also maintains the Migration Data Portal , a key aspect of the implementation of the Global Compact for Safe, Orderly and Regular Migration. Finally, various strategies, frameworks, platforms, and initiatives provide an operational framework for implementing the IOM's mandate, addressing migration, environment, and climate change, governance, resilience, and mobility .","The IOM drives strategies through plans, advancing sustainable development.",Adaptive Policy Development;Evidence-Based Decision Making;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
United Nations Office for Project Services (UNOPS),"The UN Office for Project Services (UNOPS) executes its objectives via several strategies: Firstly, a four-year Strategic Plan, revised as needed, establishes the organization's vision, mission, strategic goals, core functions, and targets . This plan, applicable for 2022-2025 , aligns with the Sustainable Development Goals . It underscores UNOPS commitment to expanding the capacity and resource base for countries to achieve these goals . The plan was agreed in June 2023 following UNOPS management reforms. The budget for the 2022-2025 strategic plan as presented in the document estimates the total delivery of $8.5 billion and the total expenditure of $1.1 billion for the four-year period. Secondly, UNOPS operates in accordance with a strict legislative framework comprised of Directives and Instructions . These are organization-wide policies that govern actions within UNOPS and its external relations. They explain procedures and business processes for the implementation of Directives, as well as UN legislation applicable to UNOPS. Futhermore, UNOPS's flagship publication, the Annual Statistical Report on UN Procurement keeps track of the combined spending on goods and services of 39 UN organizations, a record number of reporting organizations . Finally, to advance the 2030 Agenda, UNOPS aims to engage in collaborative partnerships with a focus on sharing its expertise in infrastructure, procurement, project management, human resources, and financial services . UNOPS works with a variety of partners, from the UN family to governments, non-governmental organizations, academia, and the private sector. The organization also hosts several entities under its agreements, grouped by theme .","The UN drives strategies through plans, advancing development.",Adaptive Policy Development;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),"UN-Women executes its objectives via several strategies. Firstly, a four-year Strategic Plan, revised annually by the Executive Board, establishes the organization’s vision, mission, strategic goals, core functions, and targets . This plan, applicable for 2022-2025 , aligns with the 2030 Agenda for Sustainable Development and the Beijing Declaration and Platform for Action . Secondly, an integrated results and resources framework , devised by UN-Women and approved by the Executive Board, details the specific results that UN Women aims to achieve and their respective set of indicators and resources. The current framework for 2022-2025 is based on the needs and priorities of women and girls worldwide, as outlined in the Annex I of the UN Women Strategic Plan 2022–2025. It also monitors and reports on the progress and challenges of achieving gender equality and the empowerment of all women and girls, a key aspect of the implementation of the 2030 Agenda for Sustainable Development . Thirdly, a biennial Integrated Budget and work plan, devised by the entity and ratified by the Executive Board, detail activities, outputs, indicators, and resources corresponding to each strategic objective. The current Budget for 2024-2025 is tailored to the needs and priorities of the countries and regions where UN-Women operates, as outlined in the integrated results and resources framework. It also maintains the Women Count programme , a global initiative to improve the production, accessibility and use of gender data for evidence-based advocacy and policy-making. Finally, various partnerships, platforms, and initiatives provide an operational framework for implementing the UN-Women Strategic Plan, addressing governance and participation in public life, women’s economic empowerment, ending violence against women and girls, and women, peace and security, humanitarian action, and disaster risk reduction .","The UN drives strategies through plans, advancing governance.",Adaptive Policy Development;Evidence-Based Decision Making;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
World Intellectual Property Organisation (WIPO),"The WIPO executes its objectives via several strategies. Firstly, a five-year Medium-Term Strategic Plan (MTSP), prepared by the Secretariat and noted by the Assemblies of WIPO, provides high-level strategic guidance for the corresponding Program and Budgets covered by the MTSP. This plan, applicable for 2022-2026 , outlines WIPO's vision, mission, strategic pillars, and foundation. Secondly, a biennial Program of Work and Budget, approved by the Assemblies of WIPO, details the expected results, performance indicators, and resources for each program and strategic goal. The current Program of Work and Budget for 2022-2023 is based on the MTSP and reflects the priorities and needs of the Member States and stakeholders . It also supports the implementation of the WIPO Development Agenda, which consists of 45 recommendations to enhance the development dimension of WIPO's activities . Finally, various initiatives, platforms, and projects provide an operational framework for delivering WIPO's services and advancing its goals, such as WIPO Re:Search , which facilitates research and development for neglected tropical diseases, malaria, and tuberculosis; WIPO IP and Gender Action Plan , which aims to promote gender equality and women's empowerment in the IP ecosystem; and WIPO GREEN , which connects providers and seekers of green technologies and fosters innovation and diffusion of environmentally sound solutions.","The WIPO drives strategies through plans, advancing development.",Evidence-Based Decision Making;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
UN Population Fund (UNFPA),"The UNFPA executes its objectives via several strategies: firstly, a four-year Strategic Plan, revised annually by the Executive Board, establishes the UNFPA's vision, mission, strategic goals, core functions, and targets. This plan, applicable for 2022-2025 as detailed in document DP/FPA/2021/8 , aligns with the Programme of Action of the International Conference on Population and Development (ICPD) , the 2030 Agenda for Sustainable Development , and the UN reforms. Secondly, an Integrated Budget, devised by the UNFPA and ratified by the Executive Board, detail activities, outputs, indicators, and resources corresponding to each strategic objective. The current Integrated Budget for 2022-2025 is tailored to the needs of people left furthest behind and the priorities of stakeholders, as outlined in document DP/FPA/2021/9 . It also maintains the Data for Development Platform, a key aspect of the implementation of the ICPD agenda and the Sustainable Development Goals . UNFPA evaluation is a key function that supports accountability, evidence-based decision-making and learning for the organization . It helps UNFPA become more agile and adaptive amid changing contexts, to reach the furthest behind first. UNFPA evaluation is governed by the evaluation policy, approved by the Executive Board, and implemented by the Independent Evaluation Office (IEO), which reports directly to the Executive Board. UNFPA evaluation covers various topics and levels, such as population dynamics, sexual and reproductive health, gender equality, humanitarian action, and organizational effectiveness. UNFPA evaluation also engages with various stakeholders, such as UNFPA staff, partners, donors, governments, civil society, and youth, to ensure relevance, quality, and use of evaluation findings and recommendations.","The UN drives strategies through plans, advancing development.",Adaptive Policy Development;Evidence-Based Decision Making;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
United Nations Human Settlements Programme (UN-Habitat),"The UN-Habitat executes its objectives via several strategies. Its programmes and initiatives are currently guided by a four-year Strategic Plan , endorsed by the Committee of Permanent Representatives and approved by the UN-Habitat Assembly, which sets out the vision, mission, objective, domains of change, drivers of change, and organizational performance enablers of the organization. This plan, applicable for 2020-2023, aligns with the 2030 Agenda for Sustainable Development, the New Urban Agenda, and other global frameworks . Some of the specific strategies in place for UN-Habitat to achieve its objectives and mandates according to the Strategic Plan include: (1) Refocusing its niche as the thought leader and go-to agency that sets the global discourse and agenda on sustainable urban development, (2) Aligning its work with the 2030 Agenda for Sustainable Development, the New Urban Agenda, and other relevant global frameworks and commitments, (3) Delivering four domain-specific goals that address the key challenges and opportunities of urbanization: reduced spatial inequality and poverty, enhanced shared prosperity, strengthened climate action, and effective urban crises prevention and response, (4) Integrating cross-cutting themes such as social inclusion, resilience, and safety throughout its programmes and projects, (5) Strengthening its partnerships with various stakeholders, including national and local governments, civil society, private sector, academia, and media, and (6) Improving its organizational effectiveness by enhancing its governance, accountability, transparency, innovation, and resource mobilization. According to the document, the estimated budget for the strategic plan for 2020-2023 is $1.2 billion, of which $500 million is expected to come from the regular budget and $700 million from extrabudgetary sources. The budget is based on the projected resource requirements for the implementation of the four domains of change, the drivers of change and the organizational performance enablers.","The UN drives strategies through plans, advancing sustainable development.",Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
World Food Programme (WFP),"The World Food Programme (WFP) executes its objectives via several strategies. Firstly, a four-year Strategic Plan establishes the organization’s vision, mission, strategic goals, core functions, and targets. This plan, applicable for 2022-2025 , outlines the many ways for WFP, working in synergy with others, to most efficiently and effectively save and change lives. It is grounded within renewed global commitment to the 2030 Agenda for Sustainable Development and its associated Sustainable Development Goals 9https://www.wfp.org/publications/wfp-strategic-plan-2022-25). Secondly, a biennial Management Plan, presented to the Executive Board, details the projected operational needs, the provisional global implementation plan, the programme support and business operations budget, and the use of reserves and general fund. The current Management Plan for 2024-2026 highlights the corporate budget required to implement WFP’s programme of work, based on the funding forecasts and prioritization criteria. It also outlines WFP’s key drivers of hunger, such as conflict, climate change, and economic shocks, and how WFP responds to them through various programmes, operations, and platforms . Thirdly, the Corporate Results Framework (CRF) 2022-2025 guides the planning, implementation, monitoring, and reporting of WFP’s programmes towards the objectives identified in the 2022-2025 Strategic Plan. The CRF, supplemented by the policy on country strategic plans (CSPs) , provides a performance and accountability framework that enables WFP to measure and demonstrate its response to humanitarian needs. In addition, the WFP has over 32 policies in effect under the 2022-2025 Strategic Plan. An update of the portfolio of policies is submitted annually and can be found as the “Compendium of Policies” on the Executive Board website . Finally, various policies, frameworks, agreements, and initiatives provide an operational framework for implementing the WFP Strategic Plan, addressing food security, nutrition, resilience, capacity strengthening, social protection, and innovation .","The WFP drives strategies through plans, advancing development.",Adaptive Policy Development;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
World Tourism Organization/UN Tourism (UNWTO),"The UN World Tourism Organization (UNWTO) executes its objectives via several strategies. Firstly, the UNWTO has a strategic plan that is directed towards governments of UNWTO Member States and aims to support and strengthen the capacity of National, regional, and local tourism Administrations . This strategic plan involves a sectorial analysis of tourism education and training, identifying weaknesses in the system as well as gaps between the educational offering and the real needs of the sector. The final product of this action is a strategic document containing plans and programmes in education and training at the national or regional level . Secondly, the UNWTO has a Programme of Work for 2024-2025, which is a wide-reaching plan built around clear priorities, including key pillars and landmarks . This plan is aimed at restoring tourist confidence by developing and harmonizing minimum international standards, and providing sufficient guarantees for the protection of international tourists in the post COVID-19 world . Thirdly, the UNWTO has established policy frameworks to effectively support the tourism sector at different levels: national, regional, and local . These policies focus on tourism policy and strategic planning, governance and vertical cooperation, and public-private partnerships. Finally, the UNWTO has instituted several collaborative initiatives. For example, it has signed a Memorandum of Understanding (MOU) with the African Civil Aviation Commission (AFCAC) to promote sustainable tourism and the implementation of the Single African Air Transport Market (SAATM) . It also has a partnership with Google to lead global tourism’s recovery through innovation, education, and market intelligence . The UNWTO's strategic plans and initiatives are typically aligned with global agendas such as the 2030 Agenda for Sustainable Development, indicating a long-term perspective . The UNWTO also works with its members and partners on an ongoing basis to achieve its objectives .","The UN drives strategies through plans, advancing sustainable development.",Adaptive Policy Development;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
UN Research Institute for Social Development (UNRISD),"The UNRISD pursues its objectives and mandates through several strategies: firstly, a five-year institutional strategy, developed through consultation with its stakeholders, defines the Institute’s vision, mission, research programmes, and expected results. The current strategy, applicable for 2021-2025 , focuses on overcoming inequalities and achieving a new eco-social contract. This plan aligns with the UN's Sustainable Development Goals and the 2030 Agenda for Sustainable Development. The present strategy sets out five research programmes: Transformative Social Policy, Gender Justice and Development, Alternative Economies for Transformation, Environmental and Climate Justice, and Translating Research into Policy and Practice—Bonn Programme. UNRISD engages with its network and partners through a co-production process . The Institute is committed to comprehensive consultation with its stakeholders on where its research activities are directed, as well as how UNRISD conducts and communicates about its research . It also maintains the UNRISD Flagship Report, a key publication that synthesizes the Institute’s research and policy analysis on the social dimensions of contemporary development issues . UNRISD receives no funding from the regular budget of the UN but depends entirely on voluntary contributions from national governments, multilateral donors, foundations and other sources and must fully mobilize all the financial resources necessary to cover the institutional and staff costs required to implement the UNRISD Strategy 2021–2025 (. The underlying assumption in terms of delivering results, therefore, is that UNRISD will design and successfully implement a fundraising strategy that will diversify the Institute’s funding sources, and generate predictable, stable and increased revenues. Various institutional initiatives, collaborations, and regulatory mechanisms also provide an operational framework for implementing the Institute's objectives. For instance, the work programme of the UNRISD Bonn office aims to create new interagency collaborations and enhance synergies between research and learning activities . The Institute also organises regular Seminar Series to provide a space for open, informed, and insightful conversation around contemporary issues of concern to social development research and policy .","The UN drives strategies through plans, advancing development.",Adaptive Policy Development;Evidence-Based Decision Making;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)


","The Secretariats of the Basel and Stockholm conventions (BRS) execute their objectives via several strategies: Firstly, as laid out in Article 16 of the Basel Convention , Article 19 of the Rotterdam Convention and Article 20 of the Stockholm Convention , The budget of the Secretariats and their staffing are determined by the conferences of the parties and are funded by contributions from parties, based on the UN scale of assessment . The Secretariat also develop biennium work plans for how to implement the programmes of work of the Basel, Rotterdam, and Stockholm conventions. The work plans for the biennium 2024-2025 include 36 programme of work activities. In addition various agreements, mechanisms, platforms, and initiatives provide an operational framework for implementing the Conventions. The strategies that the BRS secretariat use to achieve its objectives and mandates include (1) Establishing and facilitating the work of small intersessional working groups, expert working groups, and project groups, composed of representatives of Parties and observers, to carry out the activities under the work programmes, (2) Providing information, best practices, lessons learned, and recommendations on various aspects of the environmentally sound management of hazardous wastes and other wastes, through the development and dissemination of briefs, reports, and other materials, (3) Organizing and conducting capacity-building activities, such as regional workshops, webinars, and online courses, to assist Parties and other stakeholders in implementing the provisions and obligations of the Convention, and (4) Strengthening the communication and outreach with potential partners and other initiatives, such as the regional centres, other multilateral environmental agreements, and relevant organizations and networks, to promote information sharing and collaboration on hazardous chemicals and wastes issues .","The BRS drives strategies through plans, advancing development.",Evidence-Based Decision Making;Long-Term Vision Planning;Operational Resource Allocation
"Secretariat of the Convention on Biological Diversity (CBD)

","The CBD Secretariat executes its objectives via several strategies: firstly, a post-2020 global biodiversity framework, adopted by the Conference of the Parties at its fifteenth meeting, provide the vision, mission, goals and targets for biodiversity conservation and sustainable use for the next decade, aligning with the 2030 Agenda for Sustainable Development and the Paris Agreement . This framework, based on extensive consultations and inputs from various stakeholders, build on the achievements and lessons learned from the Strategic Plan for Biodiversity 2011-2020 and the Aichi Biodiversity Targets , as well as the current state of knowledge and science on biodiversity and ecosystem services. Secondly, a four-year medium-term programme of work, approved by the Conference of the Parties, outlines the activities, expected outcomes, indicators and budget of the Secretariat for the period of interest, in support of the implementation of the Convention and its Protocols . This programme of work is structured around six core functions of the Secretariat, namely: servicing meetings of the governing bodies and subsidiary bodies; facilitating implementation; providing policy advice and support; fostering communication, outreach and partnerships; managing information and knowledge; and ensuring sound management and administration, as detailed in Article 24 of the Convention document . The programme of work also includes a results-based management framework and a resource mobilization strategy. The major source of funding for the CBD Secretariat is the General Trust Fund for the Convention on Biological Diversity (BY Trust Fund), which is funded from the assessed contributions of Parties to the CBD, based on the UN scales of assessment . In addition, various mechanisms, initiatives and partnerships provide a platform for cooperation and coordination among Parties, other Governments, international organizations, civil society, indigenous peoples and local communities, and the private sector, on various thematic and cross-cutting issues related to biodiversity . Some of these include: the Clearing-House Mechanism , which facilitates the exchange of information and technical and scientific cooperation; the Global Taxonomy Initiative , which enhances taxonomic knowledge and capacity; the LifeWeb Initiative , which supports the establishment and management of protected areas; the Bio-Bridge Initiative , which fosters technical and scientific collaboration among Parties; the Global Partnership for Plant Conservation, which supports the implementation of the Global Strategy for Plant Conservation ; and the Biodiversity for Development Initiative ( Biodiversity for Development Initiative), which promotes the integration of biodiversity into development policies and plans.","The CBD drives strategies through plans, advancing sustainable development.",Adaptive Policy Development;Evidence-Based Decision Making;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
"
Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES)

","The CITES Secretariat executes its objectives via several strategies: firstly, a ten-year Strategic Vision, adopted by the Conference of the Parties, outlines the Convention’s direction for the 2021-2030 timeframe in fulfilment of its mandate . This vision, annexed to Resolution Conf. 18.3 , aligns with the 2030 Agenda for Sustainable Development and its Sustainable Development Goals, as well as the post-2020 Global Biodiversity Framework being developed by Parties to the Convention on Biological Diversity. It also recognizes the importance of global cooperation to address the threats posed by illegal trade in wildlife, as acknowledged by the UN General Assembly. The vision sets five broad goals and corresponding objectives and indicators to measure progress and performance. Secondly, a triennial budget and work programme, proposed by the Secretariat and approved by the Conference of the Parties, details the activities, outputs, and resources required to implement the Convention and the decisions of the Parties. The current budget and work programme for 2023-2025 is based on the priorities identified by the Parties and the Secretariat, as well as the expected income from the Trust Fund and external sources, as specified in Resolution Conf. 19.1 . Thirdly various resolutions, decisions, agreements, and partnerships provide guidance and support for the implementation and enforcement of the Convention at the national, regional, and international levels, addressing legal and sustainable trade, compliance and enforcement, capacity-building, cooperation and collaboration, and awareness-raising, with key instruments listed here . The Convention is financed by core and external funds. The core funding, known as the CITES Trust Fund (CTL), finances the administrative costs of the Secretariat, the Conference of the Parties and its subsidiary bodies, the Standing Committee and other permanent committees. The CITES Trust Fund is replenished from contributions of the Parties to the Convention based on the UN scale of assessment, adjusted to take account of the fact that not all members of the UN are Parties to the Convention. The external funds, known as the CITES External Trust Fund (QTL) funds the voluntary programmes/projects activities costs. The CITES External Trust Fund consists of extrabudgetary contributions from Parties and other entities on a purely voluntary basis. Each offer of funding to the CITES External Trust Fund is negotiated and vetted by the Secretariat .","The CITES drives strategies through frameworks, advancing sustainable development.",Evidence-Based Decision Making;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
"
Secretariat of the Convention on Migratory Species (CMS)","The CMS Secretariat executes its objectives via several strategies: Firstly, the CMS Secretariat has a Strategic Plan. This plan, proposed for 2024-2032, aligns with the Kunming-Montreal Global Biodiversity Framework (GBF) and the 2030 Agenda for Sustainable Development, as stated in the draft resolution UNEP/CMS/COP14/CRP14.2 . The plan is revised periodically, with the latest revision published in February, 2024. The Strategic Plan outlines the Secretariat’s vision, mission, strategic goals, core functions, and targets. It aligns with the Convention’s mandate to conserve migratory species of wild animals. Secondly, the CMS operates on triennium budgets to fulfill its strategic plans, but may also operate interim budgets as deemed fit. The interim budget for 2024 provides for the same funding levels as the 2023 budget that was approved by COP13. The budget period covers the calendar year, from January 1 to December 31 and details activities, outputs, indicators, and resources corresponding to each strategic objective. In February 2024, the CMS COP14 will adopt a budget for the triennium 2024-2026, which will supersede the interim budget for 2024 . Thirdly, the CMS Secretariat promotes and supports the development of Agreements. These agreements are designed to address the conservation needs of specific groups of migratory species or specific migratory species that have an unfavorable conservation status . The CMS Secretariat engages closely with UNEP through various mechanisms to enhance cooperation and policy coherence between UNEP and the multilateral environmental agreements (MEAs). This includes periodic meetings with UNEP Executive Director and the Director of Law Division and the MEAs Focal Points Network coordinated by Law Division . The Secretariat also collaborates with a number of organizations outside the framework of formal agreements . The CMS Secretariat crafts different action and strategic plans for different programs with varying cycles based on the decisions and resolutions of the Conference of the Parties (COP), the Scientific Council (ScC) and the Standing Committee (StC), while also accepting inputs from other environmental treaties and organizations . It also supports the implementation of CMS instruments, such as Memoranda of Understanding , Action Plans and Concerted Actions , which provide cooperative frameworks for the conservation and management of migratory species, as listed here . Finally, various partnerships, mechanisms, platforms and initiatives provide an operational framework for implementing the Convention and its instruments, addressing threats, habitats, knowledge, governance and synergies, with key examples listed here .","The CMS drives strategies through plans, advancing governance.",Adaptive Policy Development;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
International Fund for Agricultural Development (IFAD),"IFAD executes its objectives via several strategies: firstly, a ten-year Strategic Framework , revised every four years by the Governing Council, establishes the IFAD's vision, mission, strategic objectives, outcomes and pillars of results delivery that will guide its operations over the 2016-2025 period. This framework aligns with the 2030 Agenda for Sustainable Development and responds to the commitments of the Thirteenth Replenishment of IFAD's Resources . Secondly, an annual Result-Based Programme of Work and Budget, devised by the IFAD and approved by the Executive Board, details the activities, outputs, indicators and resources corresponding to each strategic objective. The Indicative Programme of Work and Budget for 2024 is based on the principles of efficiency, effectiveness and value for money, as outlined in document GC 47/L.8 . It also supports the implementation of the Environment and Climate Change Strategy, which consolidates and updates IFAD's strategy and policy frameworks on environment and climate change for the 2019-2025 period . IFAD's budgeting process is based on a results-based approach that aligns the Fund's resources with its strategic objectives and operational priorities. IFAD reports periodically on its budget performance and achievements to its Executive Board. IFAD has four major funding sources: (1) contributions from its members, (2) investment income, (3) loan repayments by recipient countries, and (4) borrowing from its Member States. These resources feed its work program, and are supplemented by co-financing from beneficiary countries and other donors. Contributions are voluntary and multi-year in nature. Every three years, IFAD organizes a replenishment conference, corresponding to a work program. it also receives supplementary funds from various sources, such as climate financing and bilateral grants . Finally, various agreements, mechanisms, platforms and initiatives provide an operational framework for implementing the Strategic Framework, addressing rural poverty, food security, nutrition, gender equality, resilience, innovation, partnerships and financing.","The IFAD drives strategies through frameworks, advancing development.",Adaptive Policy Development;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
"
International Trade Centre (ITC)","ITC executes its objectives via several strategies: firstly, a four-year Strategic Plan, revised annually by the Joint Advisory Group, establishes ITC's vision, mission, strategic goals, core services, and impact areas. This plan, applicable for 2022-2025, aligns with the 2030 Agenda for Sustainable Development and its mandates . The plan also articulates ITC's vision of a world where trade builds inclusive, sustainable and prosperous economies, one where the recovery from the COVID-19 pandemic creates resilience and ensures a green transition. Secondly, an annual Operational Plan, devised by ITC and approved by the Consultative Committee of the ITC Trust Fund, details activities, outputs, indicators, and resources corresponding to each strategic objective. The current Operational Plan for 2023 is tailored to the clients' needs and partners' priorities . It also maintains the Trade Map, a key aspect of the provision of trade intelligence to micro, small and medium-sized enterprises (MSMEs) . The plan also specifies how ITC will assist MSMEs in creating jobs through entrepreneurship and value chain development, with a focus on women, youth, people with disabilities, and those in vulnerable situations. ITC operates on an annual budget for its work programmes, and the 2024 budget is aligned with the ITC Strategic Plan 2022-2025 and the Operational Plan 2023, which focus on the 5 'Ps' of the Global Agenda - prosperity, people, planet, peace, and partnership 9https://intracen.org/file/proposedprogrammebudgetfor2024pdf). ITC’s Regular Budget (RB) is funded in equal parts by the UN and the WTO. Its extra budgetary resources (XB) consist of pledges from donor governments, governmental organizations, other international organizations and civil society, including NGOs, the business sector and a variety of foundations. These commitments often extend over multiyear periods . In addition, various agreements, mechanisms, platforms, and initiatives provide an operational framework for implementing ITC's vision, mission, and principles, addressing trade competitiveness, inclusiveness, sustainability, and digitalization . Finally, ITC Annual Report offers a comprehensive review of the organization’s activities and detailed information on the results and effectiveness of its work. The latest report for 2022 showcases how ITC delivered above and beyond the call of duty to set the Sustainable Development Goals back on track and help small enterprises continue finding new pathways to prosperity through trade, despite the challenges posed by the ‘four Cs’ – COVID, climate, conflict and cost-of-living. The report also presents results from the first year of ITC’s Strategic Plan 2022–2025, which pushes its value proposition further than before, laying out a bold roadmap for creating trade that is sustainable, inclusive and transformative.","The ITC drives strategies through plans, advancing sustainable development.",Adaptive Policy Development;Global Alignment and Advocacy;Long-Term Vision Planning;Operational Resource Allocation
